age,job,marital,education,default,balance,housing,loan,campaign,pdays,deposit,Date
32,management,single,tertiary,no,311,no,no,2,-1,yes,12-may
35,blue-collar,married,primary,no,414,no,no,4,-1,yes,13-may
33,management,divorced,secondary,no,5,yes,no,1,-1,yes,13-may
38,management,married,tertiary,no,119,yes,no,4,-1,yes,13-may
23,entrepreneur,single,primary,no,4,yes,no,2,-1,yes,13-may
60,blue-collar,married,primary,no,1262,yes,yes,1,-1,yes,13-may
48,management,married,tertiary,no,1949,yes,no,2,-1,yes,13-may
45,entrepreneur,divorced,tertiary,no,-395,yes,no,1,-1,yes,13-may
36,blue-collar,married,secondary,no,1165,yes,no,4,-1,yes,13-may
52,management,married,unknown,no,2240,yes,no,1,-1,yes,13-may
35,blue-collar,divorced,primary,no,300,yes,no,2,-1,yes,13-may
43,technician,married,secondary,no,3285,yes,no,2,-1,yes,13-may
52,housemaid,married,secondary,no,3923,yes,no,3,-1,yes,14-may
53,technician,divorced,primary,no,1443,yes,no,1,-1,yes,14-may
48,blue-collar,divorced,primary,no,24,yes,no,1,-1,yes,14-may
41,blue-collar,single,primary,no,1618,yes,no,1,-1,yes,14-may
39,management,divorced,tertiary,no,517,yes,yes,1,-1,yes,14-may
59,retired,married,secondary,no,1521,yes,yes,2,-1,yes,14-may
41,blue-collar,married,secondary,no,2823,yes,no,1,-1,yes,14-may
48,blue-collar,married,secondary,no,1405,yes,no,2,-1,yes,14-may
40,admin.,married,secondary,no,1535,yes,no,1,-1,yes,14-may
48,blue-collar,married,secondary,no,1596,yes,no,1,-1,yes,14-may
60,retired,married,primary,no,1542,yes,no,1,-1,yes,14-may
40,technician,single,unknown,no,3652,yes,no,2,-1,yes,14-may
57,technician,married,tertiary,no,-1,no,no,2,-1,yes,14-may
51,blue-collar,married,secondary,no,7180,yes,no,1,-1,yes,14-may
41,blue-collar,divorced,secondary,no,5291,yes,no,3,-1,yes,14-may
41,blue-collar,married,secondary,no,1384,yes,no,4,-1,yes,15-may
52,blue-collar,divorced,primary,no,-191,yes,no,1,-1,yes,15-may
59,blue-collar,married,primary,no,320,yes,no,1,-1,yes,15-may
44,blue-collar,married,unknown,no,146,yes,no,1,-1,yes,15-may
49,unknown,married,primary,no,341,yes,yes,2,-1,yes,15-may
40,services,married,primary,no,-9,yes,no,2,-1,yes,15-may
41,admin.,married,primary,no,-306,yes,no,1,-1,yes,15-may
44,technician,married,tertiary,no,4580,yes,no,2,-1,yes,15-may
60,services,single,primary,no,313,yes,no,2,-1,yes,15-may
29,management,married,tertiary,no,10576,no,no,2,-1,yes,15-may
41,retired,divorced,primary,no,-233,yes,no,2,-1,yes,15-may
41,blue-collar,married,primary,no,2453,yes,no,1,-1,yes,15-may
42,technician,single,secondary,no,1364,yes,no,6,-1,yes,15-may
36,services,single,unknown,no,281,yes,no,1,-1,yes,16-may
39,technician,married,tertiary,no,94,yes,yes,1,-1,yes,16-may
31,self-employed,single,tertiary,no,144,yes,no,1,-1,yes,16-may
26,blue-collar,married,secondary,no,246,yes,no,3,-1,yes,16-may
31,blue-collar,married,secondary,no,92,yes,no,1,-1,yes,16-may
29,admin.,single,secondary,no,163,yes,yes,1,-1,yes,16-may
37,services,divorced,secondary,no,49,yes,no,2,-1,yes,16-may
33,blue-collar,single,secondary,no,-416,yes,no,2,-1,yes,16-may
24,technician,single,secondary,no,409,yes,no,1,-1,yes,16-may
50,admin.,divorced,secondary,no,363,yes,no,1,-1,yes,16-may
27,technician,single,tertiary,no,3706,yes,no,1,-1,yes,16-may
54,management,single,tertiary,no,4393,yes,no,3,-1,yes,16-may
30,technician,single,secondary,no,863,yes,no,5,-1,yes,16-may
34,blue-collar,married,primary,no,695,yes,yes,4,-1,yes,16-may
37,management,single,secondary,no,792,yes,no,4,-1,yes,16-may
41,admin.,single,secondary,no,1020,yes,no,1,-1,yes,19-may
47,blue-collar,married,secondary,no,863,yes,no,2,-1,yes,19-may
31,admin.,married,secondary,no,97,yes,no,1,-1,yes,19-may
31,blue-collar,married,secondary,no,754,yes,no,4,-1,yes,19-may
43,services,divorced,secondary,no,1040,yes,no,3,-1,yes,19-may
37,management,divorced,tertiary,no,122,yes,no,2,-1,yes,19-may
30,technician,single,tertiary,no,880,yes,yes,6,-1,yes,19-may
41,technician,married,secondary,no,501,yes,no,5,-1,yes,19-may
36,blue-collar,married,secondary,no,4438,yes,no,1,-1,yes,20-may
35,blue-collar,divorced,secondary,no,0,yes,no,1,-1,yes,20-may
29,services,single,secondary,no,271,yes,no,2,-1,yes,20-may
35,blue-collar,married,primary,no,102,yes,no,1,-1,yes,20-may
31,blue-collar,married,secondary,no,2,yes,no,2,-1,yes,20-may
35,services,married,secondary,no,4170,yes,no,1,-1,yes,20-may
34,technician,single,secondary,no,85,yes,no,4,-1,yes,20-may
31,admin.,single,secondary,no,431,yes,yes,1,-1,yes,20-may
44,technician,divorced,secondary,no,982,yes,no,3,-1,yes,20-may
36,blue-collar,married,primary,no,408,yes,yes,2,-1,yes,20-may
35,blue-collar,married,unknown,no,4822,yes,no,2,-1,yes,20-may
41,blue-collar,married,primary,no,1250,yes,no,2,-1,yes,20-may
31,blue-collar,single,primary,no,216,yes,no,1,-1,yes,21-may
34,blue-collar,married,secondary,no,1207,yes,no,1,-1,yes,21-may
32,technician,married,secondary,no,791,yes,no,2,-1,yes,21-may
36,management,married,tertiary,no,849,yes,yes,2,-1,yes,21-may
30,blue-collar,single,secondary,yes,239,yes,no,1,-1,yes,21-may
37,technician,single,secondary,no,1211,yes,no,1,-1,yes,21-may
36,blue-collar,married,primary,no,599,yes,no,2,-1,yes,21-may
31,management,single,tertiary,no,825,yes,no,2,-1,yes,21-may
27,technician,married,secondary,no,2183,yes,yes,1,-1,yes,21-may
34,retired,married,primary,no,4499,no,no,1,-1,yes,21-may
30,technician,single,tertiary,no,1289,yes,no,2,-1,yes,21-may
32,technician,single,tertiary,no,4665,yes,no,2,-1,yes,21-may
37,technician,single,secondary,no,3326,yes,no,1,-1,yes,21-may
32,blue-collar,married,secondary,no,783,yes,no,3,-1,yes,21-may
33,blue-collar,married,secondary,no,0,yes,no,3,-1,yes,21-may
35,blue-collar,married,primary,no,994,yes,no,8,-1,yes,23-may
35,self-employed,divorced,tertiary,no,1354,yes,no,2,-1,yes,23-may
30,blue-collar,single,secondary,no,239,yes,no,1,-1,yes,23-may
45,blue-collar,divorced,primary,no,-311,yes,no,1,-1,yes,23-may
45,admin.,married,secondary,no,149,yes,no,3,-1,yes,23-may
33,blue-collar,married,secondary,no,1464,yes,no,3,-1,yes,23-may
44,management,divorced,tertiary,no,5773,no,no,6,-1,yes,23-may
40,blue-collar,married,primary,no,278,yes,no,3,-1,yes,23-may
31,blue-collar,married,secondary,no,2910,yes,no,2,-1,yes,23-may
30,technician,married,tertiary,no,541,yes,no,2,-1,yes,26-may
44,technician,divorced,secondary,no,1262,yes,no,11,-1,yes,26-may
34,services,married,secondary,no,-538,yes,no,1,-1,yes,26-may
37,blue-collar,married,secondary,no,125,no,no,2,-1,yes,26-may
28,self-employed,single,tertiary,no,0,yes,no,2,-1,yes,26-may
32,admin.,single,secondary,no,620,yes,no,3,-1,yes,26-may
37,blue-collar,divorced,secondary,no,316,yes,no,2,-1,yes,26-may
34,management,married,tertiary,no,2287,yes,no,4,-1,yes,26-may
38,admin.,divorced,secondary,no,198,yes,no,2,-1,yes,26-may
28,admin.,single,secondary,no,460,yes,no,6,-1,yes,26-may
31,management,divorced,tertiary,no,1145,yes,no,4,-1,yes,26-may
59,services,married,secondary,no,-22,yes,no,3,-1,yes,26-may
24,blue-collar,married,secondary,no,685,yes,no,3,-1,yes,26-may
26,services,single,secondary,no,901,yes,no,2,-1,yes,26-may
59,retired,single,secondary,no,351,yes,no,5,-1,yes,27-may
30,entrepreneur,single,primary,no,0,yes,yes,1,-1,yes,27-may
37,admin.,married,secondary,no,274,yes,no,3,-1,yes,27-may
30,admin.,single,secondary,no,-213,yes,yes,1,-1,yes,27-may
25,blue-collar,married,secondary,no,97,yes,no,1,-1,yes,27-may
44,services,divorced,secondary,no,51,yes,yes,2,-1,yes,27-may
29,management,married,tertiary,no,314,no,no,2,-1,yes,28-may
26,management,single,tertiary,no,6840,yes,no,2,-1,yes,28-may
26,technician,single,secondary,no,668,yes,no,3,-1,yes,28-may
27,services,single,secondary,no,54,yes,no,2,-1,yes,28-may
25,self-employed,single,secondary,no,1242,yes,no,2,-1,yes,28-may
28,management,married,secondary,no,292,yes,no,1,-1,yes,28-may
23,services,single,secondary,no,665,yes,no,1,-1,yes,28-may
34,management,single,tertiary,no,1058,yes,no,2,-1,yes,28-may
28,student,single,secondary,no,949,yes,no,1,-1,yes,28-may
51,entrepreneur,married,unknown,no,606,yes,no,9,-1,yes,28-may
35,blue-collar,married,secondary,no,0,yes,yes,1,-1,yes,29-may
35,admin.,married,secondary,no,404,yes,no,1,-1,yes,29-may
56,blue-collar,married,secondary,no,249,yes,no,2,-1,yes,29-may
45,unemployed,divorced,secondary,no,3354,yes,no,1,-1,yes,29-may
60,blue-collar,divorced,secondary,no,0,yes,no,1,-1,yes,29-may
56,technician,married,secondary,no,589,yes,no,2,-1,yes,29-may
27,management,single,tertiary,no,12956,yes,no,3,-1,yes,29-may
30,admin.,married,secondary,no,873,yes,no,3,-1,yes,29-may
45,blue-collar,divorced,primary,no,594,yes,no,2,-1,yes,29-may
29,blue-collar,single,secondary,no,-20,yes,no,2,-1,yes,29-may
38,management,divorced,tertiary,no,4692,yes,no,2,-1,yes,29-may
30,blue-collar,married,secondary,no,486,yes,no,3,-1,yes,29-may
44,blue-collar,single,primary,no,1593,yes,no,3,-1,yes,29-may
36,management,single,tertiary,no,7606,yes,no,1,-1,yes,30-may
38,technician,married,secondary,no,226,yes,no,3,-1,yes,30-may
36,blue-collar,single,secondary,no,366,yes,yes,2,-1,yes,30-may
37,management,divorced,secondary,no,16,yes,no,1,-1,yes,30-may
35,management,single,tertiary,no,565,yes,no,1,-1,yes,30-may
38,admin.,divorced,secondary,no,19,yes,no,2,-1,yes,30-may
40,services,married,primary,no,1082,yes,no,2,-1,yes,30-may
42,unemployed,divorced,secondary,no,1713,yes,no,2,-1,yes,30-may
46,management,divorced,tertiary,no,14481,yes,no,1,-1,yes,30-may
35,technician,divorced,secondary,no,5724,yes,no,10,-1,yes,30-may
34,technician,divorced,secondary,no,1451,yes,no,15,-1,yes,30-may
32,services,married,secondary,no,-34,yes,no,2,-1,yes,30-may
50,unemployed,married,secondary,no,3674,yes,no,3,-1,yes,30-may
35,blue-collar,married,secondary,no,698,yes,yes,3,-1,yes,30-may
36,technician,single,secondary,no,4136,yes,no,3,-1,yes,30-may
53,blue-collar,divorced,primary,no,2656,yes,no,2,-1,yes,30-may
46,management,single,tertiary,no,2904,yes,no,2,-1,yes,30-may
26,management,single,tertiary,no,1004,yes,no,2,-1,yes,30-may
45,technician,single,secondary,no,410,yes,no,4,-1,yes,30-may
31,unemployed,divorced,primary,no,0,yes,no,12,-1,yes,30-may
29,management,single,tertiary,no,0,yes,no,12,-1,yes,30-may
53,entrepreneur,single,secondary,no,62,yes,no,5,-1,yes,30-may
27,blue-collar,married,primary,no,416,yes,no,2,-1,yes,30-may
39,management,married,tertiary,no,2763,yes,no,2,-1,yes,02-jun
36,services,married,secondary,no,2984,yes,no,1,-1,yes,02-jun
41,blue-collar,married,primary,no,143,yes,yes,2,-1,yes,02-jun
36,services,married,primary,no,0,yes,no,1,-1,yes,02-jun
32,technician,married,secondary,no,696,yes,no,1,-1,yes,02-jun
35,services,married,secondary,no,152,yes,no,1,-1,yes,02-jun
36,management,single,tertiary,no,-78,yes,no,1,-1,yes,02-jun
35,management,married,tertiary,no,867,yes,no,3,-1,yes,02-jun
30,blue-collar,single,secondary,no,953,yes,no,2,-1,yes,02-jun
42,blue-collar,married,secondary,no,443,yes,no,5,-1,yes,02-jun
42,technician,single,secondary,yes,-1129,yes,no,5,-1,yes,02-jun
32,blue-collar,married,primary,no,415,yes,no,4,-1,yes,02-jun
29,blue-collar,single,secondary,no,260,yes,no,14,-1,yes,02-jun
44,management,divorced,tertiary,yes,-411,yes,no,4,-1,yes,02-jun
32,technician,single,secondary,no,1279,yes,no,3,-1,yes,03-jun
31,unemployed,married,secondary,no,86,yes,yes,2,-1,yes,03-jun
40,self-employed,married,secondary,yes,-754,yes,yes,3,-1,yes,03-jun
43,entrepreneur,married,secondary,no,0,no,no,7,-1,yes,03-jun
27,management,single,secondary,no,178,yes,no,2,-1,yes,03-jun
37,services,single,secondary,no,278,yes,no,3,-1,yes,03-jun
23,services,single,secondary,no,425,yes,no,1,-1,yes,03-jun
25,management,married,primary,no,168,yes,no,1,-1,yes,03-jun
26,blue-collar,single,secondary,yes,-36,yes,no,2,-1,yes,03-jun
47,blue-collar,divorced,primary,no,126,yes,no,2,-1,yes,03-jun
35,admin.,married,secondary,no,-87,yes,no,7,-1,yes,03-jun
32,technician,single,tertiary,no,6281,yes,no,4,-1,yes,03-jun
45,management,divorced,secondary,no,644,yes,no,1,-1,yes,04-jun
30,admin.,divorced,secondary,no,377,yes,no,15,-1,yes,04-jun
29,services,single,secondary,no,-271,yes,no,1,-1,yes,04-jun
38,blue-collar,married,primary,no,5839,yes,no,2,-1,yes,04-jun
23,blue-collar,single,secondary,no,492,yes,no,1,-1,yes,04-jun
27,management,single,tertiary,no,99,yes,no,2,-1,yes,04-jun
27,management,single,tertiary,yes,-713,yes,no,2,-1,yes,04-jun
29,services,single,secondary,no,32,yes,no,1,-1,yes,04-jun
30,self-employed,married,tertiary,no,543,yes,yes,6,-1,yes,04-jun
36,blue-collar,married,primary,no,403,yes,no,1,-1,yes,04-jun
35,admin.,divorced,secondary,no,437,yes,no,1,-1,yes,04-jun
36,blue-collar,married,secondary,no,1772,no,no,1,-1,yes,05-jun
59,retired,divorced,primary,no,-88,yes,no,2,-1,yes,05-jun
47,entrepreneur,married,secondary,no,0,no,no,1,-1,yes,05-jun
58,entrepreneur,married,tertiary,no,853,no,no,2,-1,yes,05-jun
37,management,single,tertiary,no,240,no,no,1,-1,yes,05-jun
46,admin.,single,secondary,no,849,yes,no,2,-1,yes,05-jun
43,blue-collar,single,secondary,no,318,yes,no,2,-1,yes,05-jun
27,management,single,tertiary,no,703,yes,no,3,-1,yes,05-jun
38,services,divorced,secondary,no,61,no,no,1,-1,yes,05-jun
53,housemaid,married,primary,no,104,no,yes,1,-1,yes,05-jun
47,blue-collar,married,secondary,no,1996,no,no,2,-1,yes,05-jun
56,housemaid,divorced,primary,yes,1238,no,no,1,-1,yes,05-jun
41,housemaid,married,secondary,no,879,no,no,2,-1,yes,05-jun
29,self-employed,married,secondary,no,425,yes,no,15,-1,yes,05-jun
50,technician,married,secondary,no,416,yes,no,5,-1,yes,05-jun
45,blue-collar,divorced,primary,no,844,no,no,3,-1,yes,05-jun
35,blue-collar,married,secondary,no,860,yes,no,4,-1,yes,05-jun
26,technician,single,secondary,no,639,yes,no,5,-1,yes,06-jun
26,admin.,married,secondary,no,710,yes,yes,2,-1,yes,06-jun
37,blue-collar,married,unknown,no,1508,no,yes,2,-1,yes,06-jun
30,admin.,single,secondary,no,223,yes,no,11,-1,yes,06-jun
38,management,single,tertiary,no,619,yes,no,4,-1,yes,06-jun
37,services,divorced,secondary,no,319,yes,no,3,-1,yes,06-jun
53,technician,married,secondary,no,480,no,no,2,-1,yes,06-jun
29,blue-collar,single,primary,no,213,yes,no,3,-1,yes,06-jun
35,management,single,tertiary,no,68,no,no,1,-1,yes,06-jun
28,blue-collar,married,secondary,no,2788,yes,no,2,-1,yes,06-jun
55,blue-collar,married,unknown,no,7561,no,no,3,-1,yes,06-jun
49,management,divorced,secondary,no,-46,yes,no,10,-1,yes,09-jun
50,services,married,secondary,no,1595,no,no,1,-1,yes,09-jun
43,management,single,tertiary,no,1046,no,no,1,-1,yes,09-jun
58,self-employed,divorced,tertiary,no,1382,no,no,1,-1,yes,09-jun
38,technician,married,primary,no,217,yes,no,6,-1,yes,09-jun
48,blue-collar,divorced,primary,no,183,no,no,1,-1,yes,09-jun
59,management,married,secondary,no,1321,no,no,3,-1,yes,09-jun
58,blue-collar,married,secondary,no,25,no,no,3,-1,yes,09-jun
36,self-employed,single,tertiary,no,4844,no,no,3,-1,yes,09-jun
42,entrepreneur,married,tertiary,no,5345,no,no,3,-1,yes,11-jun
41,admin.,single,secondary,no,812,no,yes,4,-1,yes,11-jun
42,admin.,married,secondary,no,105,no,no,4,-1,yes,11-jun
39,management,married,tertiary,no,-190,no,yes,8,-1,yes,11-jun
57,housemaid,married,primary,no,625,no,yes,1,-1,yes,11-jun
52,retired,married,unknown,no,293,no,no,1,-1,yes,11-jun
59,retired,married,unknown,no,1033,no,no,1,-1,yes,11-jun
56,blue-collar,married,secondary,no,1210,no,no,1,-1,yes,11-jun
49,management,married,tertiary,no,64,no,no,1,-1,yes,11-jun
35,blue-collar,divorced,unknown,no,164,no,no,2,-1,yes,11-jun
36,unemployed,married,secondary,no,1766,no,no,2,-1,yes,11-jun
40,admin.,single,tertiary,no,1248,no,no,2,-1,yes,11-jun
55,blue-collar,married,secondary,no,0,no,no,2,-1,yes,12-jun
58,admin.,married,secondary,no,826,no,no,1,-1,yes,12-jun
39,self-employed,married,tertiary,no,2630,no,no,5,-1,yes,12-jun
47,housemaid,single,tertiary,no,3727,no,no,6,-1,yes,12-jun
40,management,married,secondary,no,406,yes,no,2,-1,yes,12-jun
35,blue-collar,married,tertiary,no,2999,no,no,6,-1,yes,12-jun
48,blue-collar,married,secondary,no,1000,yes,no,2,-1,yes,12-jun
48,management,divorced,tertiary,no,503,no,yes,7,-1,yes,12-jun
24,blue-collar,single,secondary,yes,-203,yes,no,3,-1,yes,12-jun
49,blue-collar,married,primary,no,361,yes,no,2,-1,yes,16-jun
36,blue-collar,married,secondary,no,274,yes,no,11,-1,yes,16-jun
52,retired,divorced,tertiary,no,3687,yes,yes,4,-1,yes,16-jun
42,entrepreneur,single,unknown,no,323,no,no,1,-1,yes,16-jun
36,services,married,secondary,no,981,no,no,1,-1,yes,16-jun
36,blue-collar,divorced,secondary,no,638,yes,no,2,-1,yes,16-jun
48,unemployed,single,tertiary,no,3229,no,no,1,-1,yes,16-jun
51,management,single,secondary,no,1610,yes,no,3,-1,yes,16-jun
51,blue-collar,married,secondary,no,33,no,yes,3,-1,yes,16-jun
46,technician,married,secondary,no,536,yes,no,2,-1,yes,16-jun
37,management,married,tertiary,no,0,no,no,6,-1,yes,16-jun
36,entrepreneur,married,tertiary,no,3057,no,no,4,-1,yes,16-jun
47,management,married,secondary,no,2892,no,no,1,-1,yes,17-jun
40,technician,divorced,tertiary,no,0,no,no,1,-1,yes,17-jun
38,student,single,tertiary,no,3316,no,no,3,-1,yes,17-jun
40,management,married,secondary,no,106,no,no,2,-1,yes,17-jun
39,blue-collar,married,primary,no,2303,yes,no,3,-1,yes,17-jun
60,management,married,tertiary,no,3301,no,no,3,-1,yes,17-jun
39,self-employed,single,tertiary,no,426,no,no,1,-1,yes,18-jun
51,services,divorced,secondary,no,9,no,no,2,-1,yes,18-jun
27,admin.,married,secondary,no,-97,yes,no,2,-1,yes,18-jun
41,management,single,tertiary,no,11008,no,no,1,-1,yes,18-jun
42,blue-collar,single,primary,no,4930,no,no,1,-1,yes,18-jun
41,entrepreneur,married,secondary,no,707,no,no,1,-1,yes,18-jun
33,technician,married,secondary,no,4,yes,yes,2,-1,yes,18-jun
46,admin.,married,secondary,no,126,no,no,1,-1,yes,18-jun
31,blue-collar,married,secondary,no,671,yes,no,4,-1,yes,18-jun
41,blue-collar,married,primary,no,219,no,yes,3,-1,yes,18-jun
41,blue-collar,divorced,secondary,no,3622,no,no,4,-1,yes,19-jun
55,retired,divorced,secondary,no,1580,no,yes,1,-1,yes,19-jun
53,technician,married,secondary,no,1319,no,no,3,-1,yes,19-jun
55,housemaid,married,primary,no,2152,no,no,2,-1,yes,19-jun
39,services,married,secondary,no,2843,yes,no,1,-1,yes,19-jun
40,entrepreneur,married,tertiary,yes,0,no,no,4,-1,yes,19-jun
59,retired,married,primary,no,1115,no,no,1,-1,yes,19-jun
42,blue-collar,single,secondary,no,625,no,no,3,-1,yes,19-jun
41,blue-collar,married,primary,no,246,no,no,3,-1,yes,19-jun
27,blue-collar,married,secondary,no,61,yes,no,1,-1,yes,19-jun
25,blue-collar,single,secondary,no,-191,yes,no,7,-1,yes,19-jun
43,unemployed,married,primary,no,519,no,no,2,-1,yes,20-jun
44,services,married,secondary,no,522,no,yes,1,-1,yes,20-jun
26,blue-collar,single,secondary,no,-46,yes,no,7,-1,yes,20-jun
52,retired,married,tertiary,no,2269,no,no,1,-1,yes,20-jun
54,services,married,unknown,no,386,no,yes,1,-1,yes,20-jun
56,management,married,tertiary,no,0,no,yes,1,-1,yes,20-jun
57,management,married,tertiary,no,9103,no,yes,2,-1,yes,20-jun
29,blue-collar,single,secondary,no,908,yes,no,1,-1,yes,20-jun
47,technician,married,tertiary,no,1694,no,yes,3,-1,yes,20-jun
57,management,married,tertiary,no,-92,yes,yes,1,-1,yes,20-jun
40,blue-collar,married,secondary,no,188,yes,yes,2,-1,yes,20-jun
46,services,divorced,secondary,no,0,no,no,3,-1,yes,20-jun
43,blue-collar,single,secondary,no,740,yes,no,2,-1,yes,20-jun
45,management,married,tertiary,no,655,no,no,3,-1,yes,20-jun
24,management,married,secondary,no,867,yes,no,10,-1,yes,20-jun
40,blue-collar,married,secondary,no,1009,yes,yes,5,-1,yes,20-jun
38,services,divorced,unknown,no,6360,no,no,2,-1,yes,20-jun
36,unemployed,married,tertiary,no,4145,no,no,4,-1,yes,20-jun
27,blue-collar,single,secondary,yes,-27,no,no,2,-1,yes,23-jun
26,admin.,single,primary,no,-122,yes,no,3,-1,yes,23-jun
43,management,married,tertiary,no,149,yes,no,2,-1,yes,23-jun
25,blue-collar,single,primary,no,52,yes,no,2,-1,yes,24-jun
27,blue-collar,married,tertiary,no,335,yes,no,3,-1,yes,26-jun
30,technician,married,tertiary,no,526,yes,yes,3,-1,yes,26-jun
28,admin.,single,secondary,no,-7,no,yes,2,-1,yes,26-jun
27,blue-collar,married,primary,no,-413,no,yes,6,-1,yes,27-jun
32,admin.,divorced,secondary,no,-241,no,yes,2,-1,yes,27-jun
41,blue-collar,single,secondary,no,75,yes,no,9,-1,yes,01-jul
37,technician,single,tertiary,no,0,no,no,2,-1,yes,01-jul
27,technician,single,secondary,no,158,no,no,2,-1,yes,01-jul
29,services,single,secondary,no,84,no,yes,3,-1,yes,03-jul
33,services,married,secondary,no,114,no,yes,1,-1,yes,03-jul
36,technician,married,primary,no,0,no,no,1,-1,yes,04-jul
28,blue-collar,single,secondary,no,-127,yes,no,3,-1,yes,04-jul
55,blue-collar,married,secondary,no,49,yes,no,4,-1,yes,07-jul
51,technician,married,secondary,no,216,no,no,2,-1,yes,07-jul
39,technician,single,secondary,no,506,yes,no,2,-1,yes,07-jul
42,blue-collar,divorced,primary,no,213,yes,no,3,-1,yes,07-jul
33,services,single,secondary,no,170,no,no,1,-1,yes,07-jul
36,entrepreneur,divorced,tertiary,no,776,no,yes,3,-1,yes,07-jul
45,technician,married,secondary,no,879,no,no,2,-1,yes,07-jul
37,self-employed,married,secondary,no,1633,no,no,2,-1,yes,07-jul
46,unemployed,married,secondary,no,926,no,no,5,-1,yes,07-jul
32,self-employed,single,tertiary,no,2559,no,no,1,-1,yes,07-jul
28,technician,single,secondary,no,909,no,yes,1,-1,yes,07-jul
45,admin.,divorced,secondary,no,-176,no,yes,1,-1,yes,07-jul
41,blue-collar,single,secondary,yes,1085,yes,yes,1,-1,yes,07-jul
59,blue-collar,divorced,primary,no,1265,no,yes,1,-1,yes,07-jul
47,technician,single,secondary,no,-239,yes,yes,3,-1,yes,07-jul
31,blue-collar,single,secondary,no,726,no,no,2,-1,yes,07-jul
31,management,single,tertiary,no,296,no,yes,4,-1,yes,08-jul
33,entrepreneur,married,secondary,no,-627,yes,yes,1,-1,yes,08-jul
52,entrepreneur,married,tertiary,yes,-468,no,no,1,-1,yes,08-jul
26,self-employed,single,secondary,no,551,no,no,1,-1,yes,08-jul
25,technician,single,secondary,no,0,no,yes,1,-1,yes,08-jul
25,blue-collar,married,secondary,no,101,no,yes,3,-1,yes,08-jul
28,blue-collar,single,secondary,no,517,no,yes,1,-1,yes,08-jul
33,entrepreneur,divorced,tertiary,no,37,no,yes,1,-1,yes,08-jul
45,management,divorced,tertiary,no,854,no,yes,1,-1,yes,08-jul
36,services,married,secondary,no,30,no,yes,5,-1,yes,08-jul
26,blue-collar,single,secondary,yes,81,no,yes,2,-1,yes,08-jul
38,technician,married,secondary,no,0,no,no,1,-1,yes,08-jul
56,blue-collar,single,secondary,no,663,no,yes,3,-1,yes,08-jul
26,admin.,single,secondary,no,102,no,yes,2,-1,yes,08-jul
26,technician,married,secondary,no,370,no,yes,4,-1,yes,08-jul
25,blue-collar,single,secondary,no,189,no,yes,2,-1,yes,08-jul
26,unemployed,single,secondary,no,111,no,no,1,-1,yes,09-jul
40,blue-collar,married,primary,no,665,yes,no,1,-1,yes,09-jul
37,admin.,married,primary,no,214,yes,no,1,-1,yes,09-jul
43,blue-collar,single,primary,no,0,no,no,1,-1,yes,09-jul
41,services,divorced,tertiary,no,1583,yes,no,1,-1,yes,09-jul
